ID	Name	WP	Activity Name	Start Month	End Month/ Planned End Date	Activity Status	Collaborating WPs	Supporting WPs	Linked Activities	Linked to All	Activity Category	Activity description	Research questions	Research Question type	Research Question type 2	Methodology	Methodology category	Data Types and Procurement	Collected	Generated	Data Procurement Method	Data Usage	PDCA Cycle	End Users	Water producers	Researchers	Water users	Contributions to Theory and Practice	THEORY	PRACTICE	Contribution to DU	Technology platforms	Policy Support and Guidance	Dissemination and Collaboration	Specific Disciplinary perspectives	Discipline	Single/Inter/Trans-disciplinary	Level of Engagement	Transdisciplinary perspectives	Thematic	Methodological	Fields of Scientific Contribution	IW Aims and Objectives	Contributions to IW aims and objectives
1	Daniele	1	Blackstairs GWS micro-hydropower installation	1	33	Completed		8	"2, 3, 4, 5, 6, 7, 8"		Installation/Demo site	"Design, procurement, installation supervision, commissioning of a 3.3 kW hydro pilot plant at the Blackstairs Water Treatment Plant in Co. Wexford (Ireland) "	How to design Pump as Turbine installation which is both cost-effective and efficient	How		Case Study	Case Study	Data acquisition from the site owners for the feasibility study & data acquired after commissioning via the telemetry system	TRUE	TRUE	Field work	"The design data was used to design the installation, and then the collected telemetry data was used to confirm the design"	Plan	Rural water network	TRUE	FALSE	FALSE	Showcase the feasibility of PAT energy recovery installation	FALSE	TRUE	Meeting WP1 and Demonstration requirements	TRUE	TRUE	FALSE	"This work fits in the micro-hydropower engineering field, demonstrating practical application of technology tested in the lab."	Engineering	Transdisciplinary	Co-create	"The design and installation was a collaborative efforts with the group water scheme, the plant managers and the Trinity teams."	FALSE	TRUE	Hydro power energy recovery in water network	Result-based approach	This work has contributed to the development of innovative products in low cost MHP turbines
2	Daniele	1	Ty Mawr Wybrnant GWS micro-hydropower installation	1	39	Completed		8	"1, 3, 5, 6, 8"		Installation/Demo site	"Design, procurement, installation supervision, commissioning of a 3.6 kW hydro pilot plant on a site owned by National Trust Wales (UK)"	How to design Pump as Turbine installation which is both cost-effective and efficient	How		Case Study	Case Study	Data acquisition from the site owners for the feasibility study & data acquired after commissioning via the telemetry system	TRUE	TRUE	Field work	"The design data was used to design the installation, and then the collected telemetry data was used to confirm the design"	Plan	National Trust Wales	FALSE	FALSE	TRUE	Showcase the feasibility of PAT energy recovery installation	FALSE	TRUE	Meeting WP1 and Demonstration requirements	TRUE	TRUE	FALSE	"This work fits in the micro-hydropower engineering field, demonstrating practical application of technology tested in the lab."	Engineering	Transdisciplinary	Co-create	"The design and installation was a collaborative efforts with the site managers, the National Trust and the Trinity/Bangor teams."	FALSE	TRUE	Hydro power energy recovery in water network	Result-based approach	This work has contributed to the development of innovative products in low cost MHP turbines
3	Daniele	1	A model for the extrapolation of the characteristic curves of Pumps as Turbines from a datum Best Efficiency Point	1	26	Completed			"1,2"		Publication	Journal publication	The scope of the present research is to derive a new set of polynomials with variable coefficients for the extrapolation of the full characteristic curves of PATs based on a large dataset of experimental PAT performance curves	How		New mathematical correlations have been derived to describe the shape of head and power characteristic curves of a PAT knowing its Best Efficiency Point (BEP).	Modelling	"The characteristic curves of 113 PATs of different sizes and from different manufacturers, tested in turbine mode have been compiled. "	TRUE	FALSE	Literature review	To select the relevant coefficients	Do	Researchers and practitioners in the water & energy sector	FALSE	TRUE	FALSE	Improve the knowledge on PAT performance	TRUE	TRUE	Develop PAT selection knowledge	TRUE	FALSE	FALSE	This work fits in the micro-hydropower engineering discipline perspective	Engineering	Single Discipline	Inform	"The application of PAT at demonstration sites allows for interactions with water-energy stakeholders, general public, public authorities, civic societies thus promoting learning, dialague and knowledge production"	TRUE	TRUE	Hydro power energy recovery in water network	Result-based approach	This work has contributed to the development of innovative products in low cost MHP turbines
4	Daniele	1	BGWS Primary School Webinars	57	64	Completed	8		"1, 25"		Event	"The webinar is a place-based 45 minute on-line workshop for primary school pupils in 4th to 6th class. Topics: it covers the natural and man made water cycle; the Blackstairs GWS scheme details; the MHP system details. The workshop is interactive and engaging with a number of hands-on activities, including a group activity to design and plan for climate action in their schools or communities."	What are the benefits and gains from getting involved in youth engagemenTŷ How to adapt the technical details of the PAT to a young non-specialised audience?	What	How	Case study	Case Study	Questions from the children about the PATs	TRUE	FALSE	Intervention	To tailor the presentation	Act (Change)	"Primary School children in Blackstars GWS supply area, Co. Wexford, Ireland"	FALSE	FALSE	TRUE	This is a practical intervention to share the project application of PAT in a water network with primary school pupils and teachers	FALSE	TRUE	It contributes to communication and outreach objectives; also it helps grow the cluster.	FALSE	FALSE	TRUE	It is an outreach and dissemination activity	Management	Transdisciplinary	Co-create	Engaging with primary schools children provide feedback and perspectives from potential end-users that would have not been gathered in a project purely engineer-focused	FALSE	TRUE	Action learning research in the water sector	Cross-border additionality	"This work expands the aim of the cluster, enaging youth and citizen"
5	Daniele	1	Cost model for pumps as turbines in run-of-river and in-pipe microhydropower applications	1	33	Completed			"1,2, "		Publication	Journal publication	How to estimate the puchase cost of PATs	How		A set of equations was developed to allow designers to predict the PAT and generator cost from the nominal flow rate and available hydraulic head	Modelling	Data from 343 pumps and 286 generators were compiled to show graphically and analytically how the purchase price of PATs varies over differentnominal powers and hydraulic conditions	TRUE	FALSE	Literature review	To understand the PAT cost	Plan	Researchers and practitioners in the water & energy space	TRUE	TRUE	TRUE	New and updated cost figures relative to PAT purchase price	TRUE	TRUE	Develop PAT selection knowledge	TRUE	FALSE	FALSE	This work fits in the micro-hydropower engineering discipline perspective	Engineering	Single Discipline	Inform	"The application of PAT at demonstration sites allows for interactions with water-energy stakeholders, general public, public authorities, civic societies thus promoting learning, dialague and knowledge production"	TRUE	TRUE	Hydro power energy recovery in water network	Result-based approach	This work has contributed to the development of innovative products in low cost MHP turbines
6	Daniele	1	Sustainability Webinar on MHP	54	54	Completed		8	"1, 2, 7, 8, 14, 20, 30"		Event	"A 1 hour long webinar about Low-cost and modular hydro turbines: opportunity, design and results from pilot installations .Since 2011 the research team Trinity College Dublin has been working  on a novel type of low-cost and modular water turbine, consisting of using regular water pumps in reverse as turbines. The webinar will introduce the technology and provide an overview of the locations where it could be beneficial. Also, the results from the various installed pilot plants operating since 2019 will be presented."	How to reach out to the SSC and general public to share our results?	How		Case Study	Case Study	Feedback forms and Q&As.	TRUE	FALSE	Intervention	The feedback can be used in future event planning. 	Act (Change)	Water-energy sector stakeholders; universities and research centres; policy makers and local authorities	TRUE	TRUE	TRUE	"This is a practical intervention to share our project finding, maintain and grow the cluster, get feedback and inputs "	FALSE	TRUE	It contributes to the knowledge transfer and sharing objective and to the SSC objective	FALSE	FALSE	TRUE	"A webinar is a communication tool; its execution, outcomes and feedback contributes to the science communication discipline perspective"	Management	Interdisciplinary	Inform	Presenting research in an accesible way to practitioners and interested parties from the general public with time for questions and comments offered an opportunity to gather their perspectives and interest in the topic that can be accounted for in going forward	FALSE	FALSE	"Education, Outreach and Engagement"	Cross-border additionality	This event has contributed to the maintenance and growth of the cross- border cluster
7	Daniele	1	Design and Year-Long Performance Evaluation of a Pump as Turbine (PAT) Pico-Hydropower Energy Recovery Device in a Water Network	38	62	Completed			"1, 6, 8"		Publication	Journal publication	The objective of this research effort was the development of a software to allow for cross-comparison of suitable PAT choices for a determined site across different key decision parameters.	How		A multi-objective PAT selection software was developed and utilized to design an energy recovery installation at a rural Irish water network.	Modelling	Data acquired from the commissioning and the first 13 months of Blackstairs turbine operations	TRUE	FALSE	Field work	To inform the design of future PAT installations	Plan	Researchers and practitioners in the water & energy space	TRUE	TRUE	TRUE	This paper highlights that the design and selection of PATs for water pipe network applications can be carried out by means of advanced selection software.	TRUE	TRUE	Develop PAT selection knowledge	TRUE	FALSE	FALSE	This work fits in the micro-hydropower engineering discipline perspective	Engineering		Inform	"The application of PAT at demonstration sites allows for interactions with water-energy stakeholders, general public, public authorities, civic societies thus promoting learning, dialague and knowledge production"	TRUE	TRUE	Hydro power energy recovery in water network	Result-based approach	This work has contributed to the development of innovative products in low cost MHP turbines
8	Daniele	1	Monitoring and maintaining of the Demonstration sites in Ty Mawr and Blackstairs	33	78	In Progress			"1,2,6,7"		Installation/Demo site	This part of the project is related to the ongoing monitoring and maintainance of the two micro-hydropower demonstration sites	How is the system peforming over time? What are the practical issues encountered?	How	What	Case study	Monitoring	How efficient are they? Amount of energy produced (BGWS and TWM) and amount of heat recovered. How likely are they to survive in their role of demonstration sites: Position of the demonstration site within the site it is located (background/foreground/virtual ground) and how ameanable they are to continue demonstrating the technologies.	TRUE	TRUE	Field work	The data is used to assess how effective the technologies are in producing energy or recoveing heat. In particular the data generated at Penrhyn Castle has been used to develop the Heat Recovery Tool	Check	BGWS cluster; TMW cluster; Penhryn cluster; ABP cluster; dŵr Uisce researchers; SSC cluster	TRUE	TRUE	TRUE	The maintenance and monitoring of the demonstration sites contribute to both theory and practice. Theory: how effective there technologies are. Practice: how do they perform in practical application? How to establish collaborations with the owners/managers of the sites to make sure the demo sites 'survive' after project ends? 	TRUE	TRUE	Demonstration sites are one of the objectives of the project; they also contribute to accelerating uptake of the innovative technological platform and the Smart Specialisation Cluster	TRUE	TRUE	TRUE	"This work fits in an engineering perspective, providing insights of how these systems work in a real-life application."	Engineering		Co-create	"The learning and new knowledge are co-created with the managers of the sites where the systems are deployed. There is potential to integrate this work with Richard/s projections on water availability in catchment areas as described in ID 20. There is a need to find a space for Richard and Daniele to collaborate so that R.s work can feed into Daniele/s. Both R and D have to be able to demonstrate the deep discipine knowledge, the disciplinary basis of their research methodm their ability to communicate the complexity of their ideas simply and their ability to collaborate in the application of their work based upon a shared understanding of the inter-relationships."	TRUE	TRUE	Hydro power energy recovery in water network	Result-based approach	This work has contributed to the development of innovative products in low cost MHP turbines
9	Jan	2	Decentralized drain water heat recovery: A probabilistic method for prediction of wastewater and heating system interaction	1	29	Completed			10		Publication	Journal publication to present the results of spatial and temporal influences in the performance of wastewater heat recovery systems at residence scale in Ireland	"What is the heat recovery potential at residence scale while considering national variations within domestic buildings? At which point in time is the heat available? What is the interaction between this availability, and the consumption profile over a day?"	What		"The research method uses available data, be it monthly, yearly or daily averages, to predict seasonal/monthly or daily profiles for heat consumption, based on the statistical distribution of known consumption profiles."	Modelling	"Observations from 113 residences to predict daily and monthly consumption profiles, using monthly consumption were collated. Using Monte Carlo simulation, synthetic load profiles were generated to show how the consumption at a certain point in time, relates to the mean value. "	TRUE	TRUE	Field work	"These profiles were then used to study the operation of a drain water heat recovery system, but can also be used to assess the operation of other heating methods where the supply is not controlled, such as solar thermal. The operation of the drain water heat recovery systems was predicted based on a monitoring campaign at 3 residences, measuring wastewater temperature and flow at 5-minute intervals, for over a 1-year period. The performance of this system was assessed using the performance data of 26 commercially available heat pumps, with rated power below 7 kW. The method was applied to a theoretical average Irish residence, obtained through a Monte Carlo analysis on just under 700 000 Irish residences."	Check	"Planners, government and local authorities, researchers"	TRUE	TRUE	TRUE	"Theory: the publication presents a probabilistic approach to understand the temporal variability of heat recovery potential and heat recovery demand. Practice: the paper illustrates a DWHR system that recovers the drain water and raw sewage in a holding tank, allowing for this tank to serve as a buffer to at tenuate potential mismatches between the heat consumption and the flow of drain water."	TRUE	TRUE	This work contributes to dŵr Uisce objective to develop DWHR systems 	TRUE	FALSE	FALSE	This study fits within an engineering disciplinary field. It advances the undertanding of barriers and enablers of DWHR at residence scale 	Engineering		Inform	"Building on this work, further studies were carried out which lead to new co-created knowledge with other researchers, site managers, contractors to implement a DWHR system with a buffer tank in a commercial kitchen of a caf� in Wales"	FALSE	TRUE	Drain water heat recovery	Result-based approach	"This work contributes to the development and demonstration of a number of specific innovative products, services and cross-border tools. In particular this contributes to 'Whole building DWHR system '."
10	Jan	2	Decentralized drain water heat recovery from commercial kitchens in the hospitality sector.	1	35	Completed			"9,11,12"		Publication	"Journal publication assessing the impact of introducing direct drain water heat recovery systems in commercial kitchens in the UK, based on a commercially available heat exchangers. "	What are the critical factors for feasibility of drain water heat recovery systems in commercial kitchens?	What		"The recoverable heat from commercial kitchens was estimated using Monte Carlo simulation, sector consumption data, and data measured in the field. A financial criterion, the Net Present Value calculated over 10 years, was used to estimate feasibility threshold values for the kitchen water consumption, varying with the heating fuel used in each premises. The objective of this method is to predict daily profiles for heat consumption, based on the statistical distribution of consumption in monitored commercial kitchens"	Assessment	"Synthetic load profiles (SLP), based on work from the previous entry, were generated to account for the daily variation in hot- and cold water consumption, and thus drain water flow, in commercial kitchens. Kitchen water consumption was measured at caf�/restaurant in a tourist attraction in the UK (the tea rooms of Penrhyn castle, Bangor, North Wales).  Kitchen water temperature was measured at 4 locations, for a period varying between three weeks and one year, at a measuring interval of once per minute to once per five minutes. The fresh water temperature was measured, on a daily basis, for one year in a residence in Dublin in 2011�2012. Water consumption in the food and hospitality sector consisted in data on over 258 000 hospital and food outlets which was assessed and divided into 9 different outlet types. The carbon intensity of the different heating fuels, used in the analysis were obtained from the UK Government GHG Conversion Factors for Company reporting."	TRUE	TRUE	Field work	"The data were used in a Montecarlo analysis  to identify the distribution of the different parameters. A sensitivity analysis was performed on the total daily water consumption of the kitchen, and the method was applied for each total daily water consumption. Based on the results of each of the simulations an optimal design was determined selecting the number of commercial heat exchangers required. This recoverable heat was then used to study the financial feasibility, compared to different heating fuels used to provide hot water to the commercial kitchen, and the daily water consumption of the kitchen. The feasibility was assessed based on financial and environmental criteria, both are a NPV calculated over 10 years."	Check	Commercial kitchen ownners and managers; hospitality sector; governmet and local authorities; construction sector	TRUE	TRUE	TRUE	Theory: methodology to assess the impacts of heat recovery in commercial kitchens. Practice: a DWHR system was designed using an existing heat exchanger.	TRUE	TRUE	This work contributes to the development and application of commercial kitchens DWHR systems	TRUE	FALSE	FALSE	"This study fits within an engineering disciplinary field. It advances the undertanding of barriers and enablers of DWHRin commercial kitchens. It also fits in an environmental science, performing environmental impacts assessment and financial assessments"	Engineering		Inform	"Building on this work, further studies were carried out which lead to new co-created knowledge with other researchers, site managers, contractors to implement a DWHR system with a buffer tank in a commercial kitchen of a caf� in Wales"	FALSE	TRUE	Drain water heat recovery	Result-based approach	"This work contributes to the development and demonstration of a number of specific innovative products, services and cross-border tools. In particular this contributes to 'Whole building DWHR system '."
