		Sector	Enterprise Category	Assign Level of engagement (0-none; 1-inform; 2 consult; 3-share; 4- cocreate) to stakeholders who participating																																																								
	Start Month			2	14	18	20	26	33	39	63	60	54	54	55	55	56	62	68	12			1	1	67	57	67	56	69									12					64						65								75			10
	Activity Name			Kick-Off meeting	"First Annual Conference: 'Sustainability in Energy & Water Resources: Research & Practice' , 27 October 2017"	"Enhancing the Resilience of your Welsh Organisation: Achieving Water and Energy Savings, 26 Feb 2018"	"Water & Energy in Rural Communities. A workshop for Group Water Schemes in Ireland, 26 April 2018"	Second Annual Conference: ' Water-Energy Innovation'. 23 October 2018	Launch of Blackstairs Demonstration site	T? Mawr Wybrnant Pico Hydropower Demonstration Site Launch	EPANET	Engagement Event - Citizen Science Project on Water-Energy Efficiency in Irish Households	Expert panel discussion on heat recovery potential of leisure centres	Sustainability Webinar on MHP	Drain Water Heat Recovery Webinar	Heat recovery in commercial kitchens Webinar	Benchmarking Webinar	"Webinar: Impacts of climate change on future water availability for hydropower and public water supply in Wales, UK"	Heat Recovery Tool Webinar- 2	Blackstairs GWS micro-hydropower installation	Design and Implementation of ABP Food demonstration site	ABP Food monitoring	Ty Mawr Wybrnant GWS micro-hydropower installation	Design and implementation of DWHR system at Penrhyn Castle	NFGWS Primary School Workshops	Primary School Webinars (BGWS)	Climate Action Hackathon Programme in Irish Secondary School - Focus Group	Climate Action Hackathon with ECO-UNESCO	"Carbon, water footprint and heat recovery assessment for Aber Falls distillery and consultation on how environmental footprint can be reduced."	Feasibility of MHP generation in community-owned rural water supply networks in Ireland Case study: Ballacolla network	Feasibility of MHP generation in community-owned rural water supply networks in Ireland Case study: Blackstairs network	Feasibility of MHP generation in community-owned rural water supply networks in Ireland Case study: Ballinabrannagh network	Feasibility of MHP generation in community-owned rural water supply networks in Ireland Case study: Kilanerin network	"EPS Hydropower Potential Feasibility Assessment: Drogheda WWTP, Blackstairs WTP, Cork Lower Harbour"	Hydro Project Blaenau Gwent Pre feasibility study	Five Fords Hydropower site - Preliminary design	Dublin City Council Hydropower potential feasibility assessment Dodder Water Supply Scheme	Preliminary design of a hydropower energy recovery scheme Case study: Rathnure tank inlet	Tara Mines hydro feasibility assessment	Dairygold WWTP hydro feasibility assessment	Fethard WTP hydro feasibility assessment	Imperial Hotel DWHR Assessment	Monitoring of the Rediscovery Centre grease trap and feasibility report for DWHR	Improving water-related energy efficiency in wet leisure centres in Denbighshire County Council (DCC). 	Heat recovery potential of leisure centres (Calon Tysul leisure centre - Ceredigion). 	Water-energy efficiency of commercial swimming pools (6 x Welsh leisure centres in collaboration with Pool Sentry). 	Water-energy efficiency in offices (M-Sparc: Menai Science Park). 	Water-energy efficiency of Gibney's pub in Dublin	Bangor University Student Accommodation monitoring	"Consultation and modelling work for Talybont Community Flood Group constituting an assessment of sub-basin contributions to peak flows at Talybont in the Afon Leri catchment, and the potential impact of tree planting on streamflow."	Launch of Penrhyn Demonstration site in person	Launch of Penrhyn Demonstration site online	Drain Water Heat Recovery Fesibility Studies	GIS and water industry statistic based study to explore the effect of rurality on energy consumption in water supply services	"Feasibility of MHP generation in community-owned rural water supply networks in Ireland Case studies: Ballinguiroe Tankardstown GWS, Coolagh Caherleske GWS, Kilcredan GWS, Killally Ballinrush GWS and Kilriffith Kilmore GWS and Walterstown GWS (plus Moyne and Patrickswell GWSs - unfinished)"	"Mullins Mill, Kells, County Kilkenny Hydropower potential assessment"	Climate Action Hackathon Programme in Irish Secondary School - Delivery 	"Studying water, energy and material use as well as energy and resource recovery options in a micro-distillery, focussing on by-product streams and water heat recovery."	Hydrological modelling assessment in the Afon Gwyrfai catchment to quantify flooding impacts	Preliminary design of a 4KWh pico hydro scheme powered by a pump-as-turbine
S_ID	Organisation/Activity ID			51	52	53	54	55	31	27	35	58	37	6	43	14	47	20	50	1	45	46	2	12	42	25	66	59	88	72	73	74	75	76	77	78	79	80	81	82	83	85	49	36	38	39	40	41	48	87	89	90	92	93	93	95	96	97	98	99
S_1	9 Meals From Anarchy	Industry	Food												2																																													
S_2	Aber falls distillery	Industry	Beverage																										3																															
S_3	ABP Food Group	Industry	Food					2													3	3																															2							
S_4	Action Renewables	"Professional, administration and support services"	Consultancy		3			2																																												2								
S_5	Adnams Brewery and Distillery	Industry	Beverage	3	3																																																							
S_6	AEC	No-profit institution	Professional Association					2																																																				
S_7	Aramark Northern Europe	"Professional, administration and support services"	Customer services					2																																																				
